Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Mz Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
0.0000,-5.2091
0.0040,-4.5580
0.0080,-1.3023
0.0120,-3.2557
0.0160,-5.2091
0.0200,-5.8603
0.0240,-1.9534
0.0280,-2.6046
0.0320,-5.8603
0.0360,-5.2091
0.0400,-2.6046
0.0440,-0.6511
0.0480,-5.2091
0.0520,-5.2091
0.0560,-2.6046
0.0600,-1.3023
0.0640,-5.2091
0.0680,-8.4649
0.0720,-5.8603
0.0760,-1.9534
0.0800,-3.2557
0.0840,-7.1626
0.0880,-3.2557
0.0920,-1.3023
0.0960,-3.2557
0.1000,-5.8603
0.1040,-5.2091
0.1080,-2.6046
0.1120,-1.9534
0.1160,-7.1626
0.1200,-3.9069
0.1240,-4.5580
0.1280,-3.9069
0.1320,-8.4649
0.1360,-7.8137
0.1400,-3.9069
0.1440,-5.8603
0.1480,-7.1626
0.1520,-7.1626
0.1560,-4.5580
0.1600,-2.6046
0.1640,-3.9069
0.1680,-5.8603
0.1720,-5.2091
0.1760,-3.2557
0.1800,-5.2091
0.1840,-9.1160
0.1880,-5.2091
0.1920,-4.5580
0.1960,-7.1626
0.2000,-11.0694
0.2040,-7.1626
0.2080,-3.2557
0.2120,-7.1626
0.2160,-9.1160
0.2200,-6.5114
0.2240,-5.8603
0.2280,-7.8137
0.2320,-12.3717
0.2360,-11.0694
0.2400,-8.4649
0.2440,-10.4183
0.2480,-10.4183
0.2520,-10.4183
0.2560,-9.7671
0.2600,-11.7206
0.2640,-11.7206
0.2680,-14.9763
0.2720,-15.6274
0.2760,-11.7206
0.2800,-13.6740
0.2840,-16.2786
0.2880,-13.0229
0.2920,-11.0694
0.2960,-10.4183
0.3000,-16.2786
0.3040,-14.9763
0.3080,-13.6740
0.3120,-14.3252
0.3160,-16.9297
0.3200,-14.9763
0.3240,-13.6740
0.3280,-16.9297
0.3320,-17.5809
0.3360,-17.5809
0.3400,-15.6274
0.3440,-16.9297
0.3480,-20.1854
0.3520,-18.8832
0.3560,-16.2786
0.3600,-16.2786
0.3640,-18.2320
0.3680,-22.1389
0.3720,-17.5809
0.3760,-17.5809
0.3800,-18.8832
0.3840,-21.4877
0.3880,-19.5343
0.3920,-20.1854
0.3960,-22.7900
0.4000,-24.7434
0.4040,-24.0923
0.4080,-22.7900
0.4120,-22.1389
0.4160,-24.0923
0.4200,-27.3480
0.4240,-20.8366
