Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Mx Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
1.1320,-208.1460
1.1360,-208.7878
1.1400,-213.7080
1.1440,-210.2852
1.1480,-206.4346
1.1520,-210.4991
1.1560,-211.9966
1.1600,-209.2156
1.1640,-203.4397
1.1680,-209.0017
1.1720,-212.4245
1.1760,-208.3599
1.1800,-206.6486
1.1840,-205.3650
1.1880,-210.4991
1.1920,-209.2156
1.1960,-205.1511
1.2000,-205.7929
1.2040,-208.1460
1.2080,-210.9270
1.2120,-207.2903
1.2160,-203.0119
1.2200,-208.1460
1.2240,-208.5739
1.2280,-206.0068
1.2320,-204.5094
1.2360,-207.7182
1.2400,-207.2903
1.2440,-205.5789
1.2480,-200.4448
1.2520,-203.6537
1.2560,-206.6486
1.2600,-206.4346
1.2640,-204.5094
1.2680,-204.5094
1.2720,-208.1460
1.2760,-208.1460
1.2800,-202.5841
1.2840,-204.7233
1.2880,-209.8574
1.2920,-208.5739
1.2960,-203.4397
1.3000,-203.4397
1.3040,-205.7929
1.3080,-206.6486
1.3120,-204.2954
1.3160,-202.5841
1.3200,-206.2207
1.3240,-209.0017
1.3280,-204.5094
1.3320,-201.9423
1.3360,-206.2207
1.3400,-206.8625
1.3440,-203.6537
1.3480,-199.3752
1.3520,-204.7233
1.3560,-209.2156
1.3600,-203.2258
1.3640,-202.3701
1.3680,-203.2258
1.3720,-207.2903
1.3760,-204.9372
1.3800,-203.4397
1.3840,-202.1562
1.3880,-205.3650
1.3920,-207.0764
1.3960,-200.0170
1.4000,-203.2258
1.4040,-206.6486
1.4080,-206.6486
1.4120,-201.9423
1.4160,-201.3005
1.4200,-203.4397
1.4240,-206.0068
1.4280,-202.5841
1.4320,-200.8727
1.4360,-201.5144
1.4400,-206.4346
1.4440,-203.0119
1.4480,-199.1613
1.4520,-201.9423
1.4560,-202.7980
1.4600,-202.7980
1.4640,-199.3752
1.4680,-201.0866
1.4720,-204.2954
1.4760,-201.5144
1.4800,-198.9474
1.4840,-200.4448
1.4880,-204.7233
1.4920,-201.5144
1.4960,-199.5891
1.5000,-197.8778
1.5040,-202.7980
1.5080,-202.3701
1.5120,-199.5891
1.5160,-196.1664
1.5200,-204.0815
1.5240,-202.7980
1.5280,-201.9423
1.5320,-196.1664
1.5360,-199.3752
1.5400,-203.4397
1.5440,-201.0866
1.5480,-198.7335
1.5520,-200.6588
1.5560,-202.3701
1.5600,-200.0170
1.5640,-198.0917
1.5680,-198.7335
1.5720,-201.9423
1.5760,-199.3752
1.5800,-195.3107
1.5840,-198.5195
1.5880,-198.9474
1.5920,-198.9474
1.5960,-197.4499
1.6000,-198.3056
1.6040,-200.0170
1.6080,-201.3005
1.6120,-197.6638
1.6160,-197.8778
1.6200,-198.0917
1.6240,-198.9474
1.6280,-195.5246
1.6320,-194.8829
1.6360,-198.7335
1.6400,-201.3005
1.6440,-195.0968
1.6480,-191.0323
1.6520,-197.6638
1.6560,-200.0170
1.6600,-197.8778
1.6640,-196.8082
1.6680,-195.9525
1.6720,-198.7335
1.6760,-196.3803
1.6800,-194.4550
1.6840,-197.0221
1.6880,-202.1562
1.6920,-196.8082
1.6960,-194.4550
1.7000,-196.1664
1.7040,-197.2360
1.7080,-200.8727
1.7120,-196.5942
1.7160,-190.3905
1.7200,-197.6638
1.7240,-200.2309
1.7280,-197.2360
1.7320,-189.9626
1.7360,-196.5942
1.7400,-197.8778
1.7440,-195.3107
1.7480,-191.4601
1.7520,-194.8829
1.7560,-198.7335
1.7600,-198.0917
1.7640,-192.1019
1.7680,-196.1664
1.7720,-196.8082
1.7760,-197.0221
1.7800,-195.9525
1.7840,-194.0272
1.7880,-192.9576
1.7920,-194.8829
1.7960,-192.7436
1.8000,-192.7436
1.8040,-194.4550
1.8080,-196.1664
1.8120,-192.9576
1.8160,-190.8183
1.8200,-193.3854
1.8240,-195.9525
1.8280,-192.3158
1.8320,-190.1766
1.8360,-192.1019
1.8400,-197.2360
1.8440,-192.3158
1.8480,-188.4652
1.8520,-194.4550
1.8560,-195.7386
1.8600,-193.3854
1.8640,-189.7487
1.8680,-192.1019
1.8720,-195.5246
1.8760,-195.7386
1.8800,-190.3905
1.8840,-190.3905
1.8880,-193.8132
1.8920,-194.0272
1.8960,-189.9626
1.9000,-189.9626
1.9040,-194.2411
1.9080,-194.0272
1.9120,-191.4601
1.9160,-189.5348
1.9200,-192.9576
1.9240,-194.6689
1.9280,-192.1019
1.9320,-191.4601
1.9360,-192.5297
1.9400,-197.6638
1.9440,-190.1766
1.9480,-188.4652
1.9520,-190.6044
1.9560,-196.8082
1.9600,-192.3158
1.9640,-188.6791
1.9680,-191.0323
1.9720,-194.2411
1.9760,-191.8880
1.9800,-190.1766
1.9840,-190.1766
1.9880,-192.3158
1.9920,-195.0968
1.9960,-189.9626
2.0000,-186.9678
2.0040,-191.8880
2.0080,-193.8132
2.0120,-187.8234
2.0160,-189.3209
2.0200,-191.4601
2.0240,-193.1715
2.0280,-188.2513
2.0320,-186.7538
2.0360,-188.8931
2.0400,-191.2462
2.0440,-188.0374
2.0480,-188.6791
2.0520,-190.3905
2.0560,-193.5993
2.0600,-190.1766
2.0640,-185.8981
2.0680,-188.8931
2.0720,-191.0323
2.0760,-192.9576
2.0800,-185.8981
2.0840,-185.8981
2.0880,-192.5297
2.0920,-189.9626
2.0960,-186.7538
2.1000,-188.0374
2.1040,-192.3158
2.1080,-191.2462
2.1120,-188.0374
2.1160,-187.1817
2.1200,-187.8234
2.1240,-191.0323
2.1280,-188.6791
2.1320,-185.8981
2.1360,-188.8931
2.1400,-189.3209
2.1440,-188.4652
2.1480,-185.8981
2.1520,-188.2513
2.1560,-192.3158
2.1600,-189.1070
2.1640,-187.3956
2.1680,-188.0374
2.1720,-189.5348
2.1760,-187.6095
2.1800,-185.8981
2.1840,-188.2513
2.1880,-188.8931
2.1920,-190.1766
2.1960,-185.6842
2.2000,-184.4007
2.2040,-187.3956
2.2080,-188.2513
2.2120,-185.0424
2.2160,-182.4754
2.2200,-187.3956
2.2240,-188.2513
2.2280,-185.6842
2.2320,-182.2615
2.2360,-189.1070
2.2400,-189.5348
2.2440,-186.1120
2.2480,-184.1868
2.2520,-187.6095
2.2560,-188.6791
2.2600,-186.5399
2.2640,-180.7640
2.2680,-183.1172
2.2720,-188.6791
2.2760,-189.1070
2.2800,-183.1172
2.2840,-182.9032
2.2880,-189.3209
2.2920,-185.8981
2.2960,-183.1172
2.3000,-185.4703
2.3040,-186.1120
2.3080,-185.4703
2.3120,-187.3956
2.3160,-182.0475
2.3200,-185.2564
2.3240,-188.0374
2.3280,-183.7589
2.3320,-179.0526
2.3360,-184.1868
2.3400,-186.5399
2.3440,-183.3311
2.3480,-180.1223
2.3520,-185.6842
2.3560,-187.1817
2.3600,-185.4703
2.3640,-181.1918
2.3680,-184.1868
2.3720,-185.2564
2.3760,-185.2564
2.3800,-182.0475
2.3840,-181.6197
2.3880,-182.4754
2.3920,-183.9728
2.3960,-180.7640
2.4000,-181.1918
2.4040,-183.3311
2.4080,-186.1120
2.4120,-182.4754
2.4160,-180.7640
2.4200,-182.2615
2.4240,-185.6842
2.4280,-181.4058
2.4320,-179.4805
2.4360,-182.0475
2.4400,-186.3260
2.4440,-180.9779
2.4480,-179.2666
2.4520,-183.3311
2.4560,-186.5399
2.4600,-183.1172
2.4640,-181.8336
2.4680,-179.9083
2.4720,-186.7538
2.4760,-182.0475
2.4800,-179.0526
2.4840,-180.9779
2.4880,-183.5450
2.4920,-181.8336
2.4960,-180.9779
2.5000,-178.4109
2.5040,-183.5450
2.5080,-182.4754
2.5120,-180.9779
2.5160,-178.6248
2.5200,-181.1918
2.5240,-182.6893
2.5280,-181.8336
2.5320,-179.4805
2.5360,-183.3311
2.5400,-182.4754
2.5440,-179.4805
2.5480,-178.4109
2.5520,-179.6944
2.5560,-182.9032
2.5600,-183.3311
2.5640,-176.4856
2.5680,-180.3362
2.5720,-181.1918
2.5760,-181.8336
2.5800,-178.6248
2.5840,-178.4109
2.5880,-180.7640
2.5920,-182.4754
2.5960,-177.1273
2.6000,-177.1273
2.6040,-180.5501
2.6080,-178.6248
2.6120,-177.7691
2.6160,-176.0577
2.6200,-178.4109
2.6240,-181.1918
2.6280,-180.9779
2.6320,-175.6299
2.6360,-179.6944
2.6400,-180.1223
2.6440,-178.8387
2.6480,-177.7691
2.6520,-179.4805
2.6560,-182.2615
2.6600,-180.1223
2.6640,-173.0628
2.6680,-177.9830
2.6720,-180.5501
2.6760,-177.1273
2.6800,-176.4856
2.6840,-177.9830
2.6880,-178.1970
2.6920,-177.3412
2.6960,-173.9185
2.7000,-174.7742
2.7040,-178.4109
2.7080,-177.3412
2.7120,-175.6299
2.7160,-174.7742
2.7200,-176.0577
2.7240,-179.4805
2.7280,-175.4160
2.7320,-175.4160
2.7360,-175.4160
2.7400,-179.2666
2.7440,-175.6299
2.7480,-171.9932
2.7520,-177.1273
2.7560,-180.5501
2.7600,-177.9830
2.7640,-172.4211
2.7680,-176.9134
2.7720,-178.6248
2.7760,-175.4160
2.7800,-171.3514
2.7840,-172.8489
2.7880,-179.0526
2.7920,-176.6995
2.7960,-174.7742
2.8000,-174.5603
2.8040,-175.2020
2.8080,-177.5552
2.8120,-173.2767
2.8160,-174.3464
2.8200,-174.1324
2.8240,-176.6995
2.8280,-176.0577
2.8320,-171.3514
2.8360,-175.8438
2.8400,-179.0526
2.8440,-172.8489
2.8480,-171.1375
2.8520,-172.4211
2.8560,-174.7742
2.8600,-174.1324
2.8640,-168.5705
2.8680,-172.8489
2.8720,-176.0577
2.8760,-174.5603
2.8800,-170.0679
2.8840,-169.8540
2.8880,-174.3464
2.8920,-175.2020
2.8960,-169.6401
2.9000,-172.4211
2.9040,-171.9932
2.9080,-174.5603
2.9120,-171.7793
2.9160,-168.9983
2.9200,-174.7742
2.9240,-174.3464
2.9280,-170.7097
2.9320,-168.3565
2.9360,-173.2767
2.9400,-175.2020
2.9440,-171.7793
2.9480,-167.7148
2.9520,-171.5654
2.9560,-175.8438
2.9600,-173.0628
2.9640,-170.7097
2.9680,-172.8489
2.9720,-172.6350
2.9760,-170.0679
2.9800,-170.4958
2.9840,-170.4958
2.9880,-174.7742
2.9920,-171.1375
2.9960,-171.3514
3.0000,-171.5654
3.0040,-174.5603
3.0080,-172.8489
3.0120,-169.2122
3.0160,-168.3565
