Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Px Def.1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,mm
1.2440,0.9107
1.2480,0.9200
1.2520,0.9293
1.2560,0.9386
1.2600,0.9293
1.2640,0.9386
1.2680,0.9479
1.2720,0.9479
1.2760,0.9479
1.2800,0.9479
1.2840,0.9572
1.2880,0.9572
1.2920,0.9572
1.2960,0.9572
1.3000,0.9665
1.3040,0.9665
1.3080,0.9758
1.3120,0.9758
1.3160,0.9851
1.3200,0.9851
1.3240,0.9943
1.3280,0.9851
1.3320,0.9943
1.3360,0.9943
1.3400,1.0036
1.3440,1.0036
1.3480,1.0129
1.3520,1.0129
1.3560,1.0129
1.3600,1.0129
1.3640,1.0222
1.3680,1.0222
1.3720,1.0315
1.3760,1.0315
1.3800,1.0315
1.3840,1.0408
1.3880,1.0501
1.3920,1.0408
1.3960,1.0501
1.4000,1.0501
1.4040,1.0501
1.4080,1.0594
1.4120,1.0687
1.4160,1.0594
1.4200,1.0780
1.4240,1.0687
1.4280,1.0780
1.4320,1.0780
1.4360,1.0780
1.4400,1.0873
1.4440,1.0966
1.4480,1.0873
1.4520,1.1059
1.4560,1.0966
1.4600,1.0966
1.4640,1.1059
1.4680,1.1059
1.4720,1.1059
1.4760,1.1151
1.4800,1.1244
1.4840,1.1151
1.4880,1.1244
1.4920,1.1337
1.4960,1.1337
1.5000,1.1337
1.5040,1.1430
1.5080,1.1430
1.5120,1.1430
1.5160,1.1523
1.5200,1.1523
1.5240,1.1523
1.5280,1.1616
1.5320,1.1616
1.5360,1.1709
1.5400,1.1709
1.5440,1.1709
1.5480,1.1802
1.5520,1.1802
1.5560,1.1709
1.5600,1.1895
1.5640,1.1895
1.5680,1.1895
1.5720,1.1802
1.5760,1.2081
1.5800,1.1988
1.5840,1.2081
1.5880,1.2081
1.5920,1.2081
1.5960,1.2174
1.6000,1.2174
1.6040,1.2267
1.6080,1.2360
1.6120,1.2360
1.6160,1.2267
1.6200,1.2360
1.6240,1.2452
1.6280,1.2452
1.6320,1.2452
1.6360,1.2452
1.6400,1.2545
1.6440,1.2545
1.6480,1.2638
1.6520,1.2638
1.6560,1.2731
1.6600,1.2638
1.6640,1.2731
1.6680,1.2638
1.6720,1.2917
1.6760,1.2824
1.6800,1.2917
1.6840,1.2917
1.6880,1.2824
1.6920,1.3010
1.6960,1.3010
1.7000,1.3103
1.7040,1.3103
1.7080,1.3103
1.7120,1.3103
1.7160,1.3289
1.7200,1.3289
1.7240,1.3289
1.7280,1.3382
1.7320,1.3382
1.7360,1.3382
1.7400,1.3475
1.7440,1.3382
1.7480,1.3568
1.7520,1.3568
1.7560,1.3568
1.7600,1.3661
1.7640,1.3754
1.7680,1.3661
1.7720,1.3754
1.7760,1.3754
1.7800,1.3754
1.7840,1.3846
1.7880,1.3846
1.7920,1.3846
1.7960,1.3846
1.8000,1.3846
1.8040,1.3939
1.8080,1.4032
1.8120,1.4032
1.8160,1.4125
1.8200,1.4032
1.8240,1.4125
1.8280,1.4125
1.8320,1.4218
1.8360,1.4311
1.8400,1.4311
1.8440,1.4218
1.8480,1.4404
1.8520,1.4404
1.8560,1.4404
1.8600,1.4497
1.8640,1.4404
1.8680,1.4590
1.8720,1.4497
1.8760,1.4683
1.8800,1.4590
1.8840,1.4683
1.8880,1.4590
1.8920,1.4683
1.8960,1.4683
1.9000,1.4776
1.9040,1.4869
1.9080,1.4869
1.9120,1.4869
1.9160,1.4962
1.9200,1.4776
1.9240,1.5055
1.9280,1.4962
1.9320,1.5055
1.9360,1.5055
1.9400,1.5055
1.9440,1.5147
1.9480,1.5240
1.9520,1.5240
1.9560,1.5333
1.9600,1.5240
1.9640,1.5333
1.9680,1.5333
1.9720,1.5426
1.9760,1.5426
1.9800,1.5333
1.9840,1.5426
1.9880,1.5519
1.9920,1.5612
1.9960,1.5612
2.0000,1.5612
2.0040,1.5612
2.0080,1.5798
2.0120,1.5705
2.0160,1.5798
2.0200,1.5705
2.0240,1.5798
2.0280,1.5798
2.0320,1.5891
2.0360,1.5984
2.0400,1.5984
2.0440,1.5984
2.0480,1.6077
2.0520,1.6077
2.0560,1.6077
2.0600,1.6170
2.0640,1.6077
2.0680,1.6170
2.0720,1.6170
2.0760,1.6355
2.0800,1.6263
2.0840,1.6355
2.0880,1.6355
2.0920,1.6355
2.0960,1.6448
2.1000,1.6541
2.1040,1.6448
2.1080,1.6448
2.1120,1.6541
2.1160,1.6634
2.1200,1.6727
