Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fz Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
1.1320,1926.9014
1.1360,1916.7062
1.1400,1903.1124
1.1440,1913.3077
1.1480,1926.9014
1.1520,1913.3077
1.1560,1906.5110
1.1600,1916.7062
1.1640,1933.6982
1.1680,1916.7062
1.1720,1903.1124
1.1760,1916.7062
1.1800,1926.9014
1.1840,1920.1046
1.1880,1903.1124
1.1920,1909.9094
1.1960,1920.1046
1.2000,1923.5031
1.2040,1909.9094
1.2080,1903.1124
1.2120,1920.1046
1.2160,1930.2998
1.2200,1916.7062
1.2240,1903.1124
1.2280,1913.3077
1.2320,1930.2998
1.2360,1916.7062
1.2400,1906.5110
1.2440,1923.5031
1.2480,1937.0967
1.2520,1923.5031
1.2560,1903.1124
1.2600,1920.1046
1.2640,1926.9014
1.2680,1920.1046
1.2720,1906.5110
1.2760,1916.7062
1.2800,1930.2998
1.2840,1923.5031
1.2880,1909.9094
1.2920,1913.3077
1.2960,1926.9014
1.3000,1926.9014
1.3040,1916.7062
1.3080,1909.9094
1.3120,1926.9014
1.3160,1926.9014
1.3200,1916.7062
1.3240,1906.5110
1.3280,1920.1046
1.3320,1933.6982
1.3360,1920.1046
1.3400,1909.9094
1.3440,1923.5031
1.3480,1933.6982
1.3520,1916.7062
1.3560,1903.1124
1.3600,1920.1046
1.3640,1926.9014
1.3680,1920.1046
1.3720,1909.9094
1.3760,1916.7062
1.3800,1930.2998
1.3840,1923.5031
1.3880,1913.3077
1.3920,1913.3077
1.3960,1930.2998
1.4000,1923.5031
1.4040,1909.9094
1.4080,1906.5110
1.4120,1923.5031
1.4160,1930.2998
1.4200,1916.7062
1.4240,1906.5110
1.4280,1923.5031
1.4320,1930.2998
1.4360,1920.1046
1.4400,1906.5110
1.4440,1920.1046
1.4480,1930.2998
1.4520,1916.7062
1.4560,1913.3077
1.4600,1916.7062
1.4640,1930.2998
1.4680,1920.1046
1.4720,1909.9094
1.4760,1916.7062
1.4800,1926.9014
1.4840,1920.1046
1.4880,1909.9094
1.4920,1916.7062
1.4960,1926.9014
1.5000,1926.9014
1.5040,1913.3077
1.5080,1913.3077
1.5120,1923.5031
1.5160,1930.2998
1.5200,1909.9094
1.5240,1909.9094
1.5280,1913.3077
1.5320,1933.6982
1.5360,1923.5031
1.5400,1906.5110
1.5440,1916.7062
1.5480,1926.9014
1.5520,1916.7062
1.5560,1909.9094
1.5600,1916.7062
1.5640,1926.9014
1.5680,1920.1046
1.5720,1909.9094
1.5760,1916.7062
1.5800,1926.9014
1.5840,1920.1046
1.5880,1909.9094
1.5920,1916.7062
1.5960,1923.5031
1.6000,1920.1046
1.6040,1913.3077
1.6080,1909.9094
1.6120,1923.5031
1.6160,1926.9014
1.6200,1913.3077
1.6240,1903.1124
1.6280,1923.5031
1.6320,1930.2998
1.6360,1916.7062
1.6400,1903.1124
1.6440,1916.7062
