Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fx Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
1.2400,697.6788
1.2440,702.6387
1.2480,700.9854
1.2520,700.9854
1.2560,710.9050
1.2600,714.2115
1.2640,710.9050
1.2680,707.5984
1.2720,719.1713
1.2760,724.1311
1.2800,717.5181
1.2840,709.2518
1.2880,724.1311
1.2920,732.3975
1.2960,729.0909
1.3000,722.4778
1.3040,734.0507
1.3080,740.6638
1.3120,740.6638
1.3160,735.7040
1.3200,740.6638
1.3240,745.6236
1.3280,743.9703
1.3320,742.3171
1.3360,743.9703
1.3400,753.8900
1.3440,760.5030
1.3480,750.5834
1.3520,753.8900
1.3560,762.1563
1.3600,767.1161
1.3640,758.8497
1.3680,758.8497
1.3720,768.7693
1.3760,777.0357
1.3800,772.0759
1.3840,765.4628
1.3880,780.3422
1.3920,786.9553
1.3960,780.3422
1.4000,777.0357
1.4040,783.6487
1.4080,790.2618
1.4120,786.9553
1.4160,781.9955
1.4200,791.9150
1.4240,793.5684
1.4280,796.8749
1.4320,795.2216
1.4360,793.5684
1.4400,806.7945
1.4440,810.1010
1.4480,805.1412
1.4520,796.8749
1.4560,810.1010
1.4600,818.3674
1.4640,811.7543
1.4680,813.4076
1.4720,821.6739
1.4760,828.2869
1.4800,820.0206
1.4840,824.9805
1.4880,828.2869
1.4920,838.2066
1.4960,834.9000
1.5000,826.6337
1.5040,839.8598
1.5080,841.5131
1.5120,846.4729
1.5160,839.8598
1.5200,844.8197
1.5240,851.4327
1.5280,853.0860
1.5320,848.1262
1.5360,851.4327
1.5400,858.0458
1.5440,858.0458
1.5480,854.7393
1.5520,858.0458
1.5560,863.0056
1.5600,864.6588
1.5640,863.0056
1.5680,864.6588
1.5720,869.6187
1.5760,876.2317
1.5800,867.9654
1.5840,867.9654
1.5880,877.8850
1.5920,886.1513
1.5960,879.5383
1.6000,876.2317
1.6040,887.8046
1.6080,889.4579
1.6120,891.1111
1.6160,887.8046
1.6200,892.7644
1.6240,897.7242
1.6280,901.0308
1.6320,897.7242
1.6360,901.0308
1.6400,904.3372
1.6440,915.9101
1.6480,904.3372
1.6520,902.6840
1.6560,914.2569
1.6600,915.9101
1.6640,914.2569
1.6680,912.6036
1.6720,920.8700
1.6760,925.8298
1.6800,924.1765
1.6840,917.5634
1.6880,929.1363
1.6920,937.4026
1.6960,929.1363
1.7000,927.4830
1.7040,934.0961
1.7080,944.0157
1.7120,947.3222
1.7160,939.0558
1.7200,944.0157
1.7240,955.5886
1.7280,952.2820
1.7320,948.9755
1.7360,950.6288
1.7400,960.5484
1.7440,960.5484
1.7480,953.9353
1.7520,952.2820
1.7560,963.8549
1.7600,970.4680
1.7640,965.5082
1.7680,963.8549
1.7720,968.8147
1.7760,975.4277
1.7800,970.4680
1.7840,970.4680
1.7880,975.4277
1.7920,980.3875
1.7960,977.0811
1.8000,972.1212
1.8040,978.7343
1.8080,983.6941
1.8120,987.0006
1.8160,983.6941
1.8200,988.6539
1.8240,993.6137
1.8280,998.5735
1.8320,993.6137
1.8360,995.2670
1.8400,1003.5333
1.8440,1011.7996
1.8480,1000.2267
1.8520,1000.2267
1.8560,1011.7996
1.8600,1015.1062
1.8640,1010.1464
1.8680,1006.8398
1.8720,1021.7192
1.8760,1026.6791
1.8800,1015.1062
1.8840,1016.7595
1.8880,1025.0258
1.8920,1031.6389
1.8960,1023.3725
1.9000,1021.7192
1.9040,1028.3323
1.9080,1036.5986
1.9120,1036.5986
1.9160,1031.6389
1.9200,1038.2520
1.9240,1043.2118
1.9280,1044.8650
1.9320,1038.2520
1.9360,1044.8650
1.9400,1048.1715
1.9440,1054.7847
1.9480,1048.1715
1.9520,1048.1715
1.9560,1061.3977
1.9600,1066.3575
1.9640,1053.1313
1.9680,1051.4780
1.9720,1066.3575
1.9760,1071.3173
1.9800,1068.0107
1.9840,1064.7042
1.9880,1072.9706
1.9920,1081.2368
1.9960,1079.5836
2.0000,1072.9706
2.0040,1079.5836
2.0080,1087.8500
2.0120,1087.8500
2.0160,1082.8901
2.0200,1089.5032
2.0240,1094.4630
2.0280,1091.1565
2.0320,1089.5032
2.0360,1087.8500
2.0400,1096.1163
2.0440,1101.0760
2.0480,1092.8097
2.0520,1096.1163
2.0560,1104.3826
2.0600,1107.6892
2.0640,1104.3826
2.0680,1101.0760
2.0720,1109.3424
2.0760,1119.2621
2.0800,1109.3424
2.0840,1107.6892
2.0880,1120.9153
2.0920,1124.2218
2.0960,1120.9153
2.1000,1117.6088
2.1040,1122.5686
2.1080,1130.8350
2.1120,1130.8350
2.1160,1125.8751
2.1200,1129.1816
2.1240,1139.1012
2.1280,1140.7545
2.1320,1135.7947
2.1360,1135.7947
2.1400,1144.0610
2.1440,1147.3677
2.1480,1142.4078
2.1520,1142.4078
2.1560,1152.3274
2.1600,1158.9406
2.1640,1153.9806
2.1680,1150.6741
2.1720,1157.2872
2.1760,1162.2469
2.1800,1158.9406
2.1840,1163.9003
2.1880,1168.8601
2.1920,1175.4731
2.1960,1172.1665
2.2000,1165.5535
2.2040,1173.8198
2.2080,1183.7394
2.2120,1183.7394
2.2160,1177.1263
2.2200,1182.0863
2.2240,1185.3927
2.2280,1188.6992
2.2320,1182.0863
2.2360,1185.3927
2.2400,1193.6591
2.2440,1198.6189
2.2480,1193.6591
2.2520,1192.0059
2.2560,1198.6189
2.2600,1201.9254
2.2640,1200.2721
2.2680,1196.9656
2.2720,1203.5787
2.2760,1210.1917
2.2800,1205.2319
2.2840,1203.5787
2.2880,1210.1917
2.2920,1220.1113
2.2960,1213.4983
2.3000,1211.8450
2.3040,1216.8048
2.3080,1225.0712
2.3120,1225.0712
2.3160,1221.7645
2.3200,1223.4178
2.3240,1231.6842
2.3280,1236.6440
2.3320,1230.0310
2.3360,1234.9907
2.3400,1238.2974
2.3440,1244.9103
2.3480,1239.9506
2.3520,1238.2974
2.3560,1249.8701
2.3600,1253.1768
2.3640,1249.8701
2.3680,1249.8701
2.3720,1253.1768
2.3760,1256.4832
2.3800,1253.1768
2.3840,1249.8701
2.3880,1261.4430
2.3920,1266.4027
2.3960,1259.7898
2.4000,1259.7898
2.4040,1261.4430
2.4080,1277.9756
2.4120,1271.3627
2.4160,1266.4027
2.4200,1274.6692
2.4240,1281.2822
2.4280,1277.9756
2.4320,1273.0159
2.4360,1276.3225
2.4400,1287.8954
2.4440,1289.5485
2.4480,1286.2421
2.4520,1284.5887
2.4560,1294.5084
2.4600,1296.1616
2.4640,1291.2018
2.4680,1291.2018
2.4720,1297.8149
2.4760,1306.0813
2.4800,1299.4683
2.4840,1302.7747
2.4880,1301.1213
2.4920,1307.7345
2.4960,1311.0411
2.5000,1307.7345
2.5040,1309.3878
2.5080,1312.6943
2.5120,1319.3074
2.5160,1314.3475
2.5200,1316.0009
2.5240,1319.3074
2.5280,1320.9607
2.5320,1319.3074
2.5360,1322.6140
