Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fy Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
0.0000,218.5347
0.0040,246.6793
0.0080,243.3682
0.0120,226.8125
0.0160,226.8125
0.0200,225.1570
0.0240,240.0571
0.0280,248.3349
0.0320,183.7678
0.0360,200.3235
0.0400,284.7574
0.0440,216.8791
0.0480,167.2122
0.0520,233.4348
0.0560,218.5347
0.0600,193.7012
0.0640,238.4015
0.0680,218.5347
0.0720,198.6679
0.0760,243.3682
0.0800,178.8011
0.0840,177.1456
0.0880,241.7126
0.0920,216.8791
0.0960,178.8011
0.1000,201.9790
0.1040,208.6013
0.1080,195.3568
0.1120,213.5680
0.1160,175.4900
0.1200,198.6679
0.1240,235.0903
0.1280,187.0789
0.1320,178.8011
0.1360,206.9457
0.1400,215.2236
0.1440,203.6346
0.1480,185.4234
0.1520,190.3901
0.1560,203.6346
0.1600,185.4234
0.1640,180.4567
0.1680,201.9790
0.1720,203.6346
0.1760,201.9790
0.1800,188.7345
0.1840,190.3901
0.1880,208.6013
0.1920,206.9457
0.1960,185.4234
0.2000,180.4567
0.2040,183.7678
0.2080,205.2902
0.2120,180.4567
0.2160,183.7678
0.2200,203.6346
0.2240,205.2902
0.2280,183.7678
0.2320,172.1789
0.2360,201.9790
0.2400,203.6346
0.2440,185.4234
0.2480,175.4900
0.2520,195.3568
0.2560,208.6013
0.2600,188.7345
0.2640,178.8011
0.2680,195.3568
0.2720,198.6679
0.2760,198.6679
0.2800,188.7345
0.2840,187.0789
0.2880,205.2902
0.2920,187.0789
0.2960,180.4567
0.3000,167.2122
0.3040,172.1789
0.3080,198.6679
0.3120,183.7678
0.3160,183.7678
0.3200,197.0123
0.3240,175.4900
0.3280,183.7678
0.3320,172.1789
0.3360,185.4234
0.3400,197.0123
0.3440,201.9790
0.3480,170.5233
0.3520,170.5233
0.3560,197.0123
0.3600,170.5233
0.3640,162.2455
0.3680,170.5233
0.3720,208.6013
0.3760,177.1456
0.3800,168.8677
0.3840,172.1789
0.3880,192.0457
0.3920,175.4900
0.3960,162.2455
0.4000,168.8677
0.4040,180.4567
0.4080,193.7012
0.4120,155.6232
0.4160,160.5899
0.4200,187.0789
0.4240,193.7012
0.4280,165.5566
0.4320,147.3454
0.4360,177.1456
0.4400,203.6346
0.4440,178.8011
0.4480,172.1789
0.4520,185.4234
0.4560,211.9124
0.4600,190.3901
0.4640,165.5566
0.4680,182.1123
