Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Tire Inf.2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,kpa
0.0000,260.9385
0.0040,261.4126
0.0080,262.7296
0.0120,262.5189
0.0160,261.0966
0.0200,261.3599
0.0240,262.6242
0.0280,262.6242
0.0320,261.1492
0.0360,261.2546
0.0400,262.3081
0.0440,262.8349
0.0480,261.4653
0.0520,260.9385
0.0560,262.3608
0.0600,262.7296
0.0640,261.6760
0.0680,260.9385
0.0720,261.9394
0.0760,262.9403
0.0800,262.0447
0.0840,260.7805
0.0880,261.7814
0.0920,262.9930
0.0960,262.2555
0.1000,261.2019
0.1040,261.5706
0.1080,262.8349
0.1120,262.4662
0.1160,261.2019
0.1200,261.2019
0.1240,262.6769
0.1280,262.7296
0.1320,261.1492
0.1360,260.9912
0.1400,262.4662
0.1440,262.8876
0.1480,261.4126
0.1520,261.2546
0.1560,262.4662
0.1600,262.8876
0.1640,261.7814
0.1680,260.9912
0.1720,262.0974
0.1760,262.8349
0.1800,261.8867
0.1840,261.0966
0.1880,261.6760
0.1920,262.8349
0.1960,262.3608
0.2000,260.9912
0.2040,261.6760
0.2080,262.9403
0.2120,262.3608
0.2160,261.2019
0.2200,261.4653
0.2240,262.7822
0.2280,262.6242
0.2320,261.4126
0.2360,261.2546
0.2400,262.4662
0.2440,262.7296
0.2480,261.3073
0.2520,261.0439
0.2560,262.1501
0.2600,262.8876
0.2640,261.7287
0.2680,261.0439
0.2720,261.9394
0.2760,263.0983
0.2800,262.0447
0.2840,260.9385
0.2880,261.7814
0.2920,262.7822
0.2960,262.2028
0.3000,260.9385
0.3040,261.6233
0.3080,262.7822
0.3120,262.5189
0.3160,261.0966
0.3200,261.3073
0.3240,262.4662
0.3280,262.5715
0.3320,261.3073
0.3360,261.0966
0.3400,262.4135
0.3440,262.6769
0.3480,261.4653
0.3520,261.0439
0.3560,262.3081
0.3600,262.7822
0.3640,261.8867
0.3680,261.0966
0.3720,262.1501
0.3760,263.1510
0.3800,262.0447
0.3840,260.9385
0.3880,261.7287
0.3920,262.9403
0.3960,262.4135
0.4000,261.2019
0.4040,261.5180
0.4080,262.7296
0.4120,262.5189
0.4160,261.0966
0.4200,261.2546
0.4240,262.5715
0.4280,262.5189
0.4320,261.3073
0.4360,261.3599
0.4400,262.5715
0.4440,262.7822
0.4480,261.5706
0.4520,261.0966
0.4560,262.2028
0.4600,262.8876
0.4640,261.6760
0.4680,260.9912
