Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Tire Inf.1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,kpa
0.0000,262.5715
0.0040,263.3090
0.0080,262.0447
0.0120,261.4126
0.0160,262.3608
0.0200,263.0983
0.0240,262.0974
0.0280,261.3599
0.0320,262.0974
0.0360,263.2563
0.0400,262.6242
0.0440,261.3073
0.0480,261.8867
0.0520,263.4144
0.0560,262.8349
0.0600,261.4653
0.0640,261.6760
0.0680,263.0983
0.0720,262.9930
0.0760,261.5180
0.0800,261.5180
0.0840,262.8349
0.0880,263.1510
0.0920,261.7814
0.0960,261.3599
0.1000,262.4135
0.1040,263.2037
0.1080,262.1501
0.1120,261.2019
0.1160,262.3081
0.1200,263.1510
0.1240,262.3081
0.1280,261.3599
0.1320,262.0974
0.1360,263.1510
0.1400,262.5715
0.1440,261.4126
0.1480,261.9394
0.1520,263.0983
0.1560,262.7296
0.1600,261.2019
0.1640,261.5706
0.1680,262.9403
0.1720,262.9930
0.1760,261.6233
0.1800,261.5706
0.1840,262.7296
0.1880,263.2563
0.1920,261.8867
0.1960,261.2019
0.2000,262.5715
0.2040,263.0457
0.2080,262.1501
0.2120,261.3073
0.2160,262.4135
0.2200,263.2037
0.2240,262.3081
0.2280,261.2546
0.2320,262.3608
0.2360,263.1510
0.2400,262.4135
0.2440,261.3073
0.2480,261.7814
0.2520,263.2037
0.2560,262.7296
0.2600,261.4126
0.2640,261.7287
0.2680,262.8349
0.2720,262.7296
0.2760,261.4653
0.2800,261.4126
0.2840,262.8876
0.2880,262.9930
0.2920,261.8340
0.2960,261.2546
0.3000,262.7296
0.3040,263.1510
0.3080,261.9921
0.3120,261.2019
0.3160,262.2028
0.3200,263.2037
0.3240,262.3608
0.3280,261.3073
0.3320,262.0974
0.3360,263.1510
0.3400,262.6769
0.3440,261.3599
0.3480,261.8340
0.3520,263.0983
0.3560,262.6769
0.3600,261.7814
0.3640,261.6760
0.3680,263.1510
0.3720,262.9403
0.3760,261.5180
0.3800,261.5180
0.3840,262.6242
0.3880,263.1510
0.3920,261.8340
0.3960,261.3073
0.4000,262.6242
0.4040,263.2563
0.4080,262.0974
0.4120,261.3599
0.4160,262.3081
0.4200,263.2037
0.4240,262.4135
0.4280,261.2546
0.4320,262.2028
0.4360,263.1510
0.4400,262.4135
0.4440,261.3599
0.4480,261.7287
0.4520,262.9930
0.4560,262.6242
0.4600,261.4653
0.4640,261.6233
0.4680,262.8876
