Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,My Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
1.2440,264.1950
1.2480,265.9681
1.2520,265.0815
1.2560,266.8547
1.2600,266.8547
1.2640,268.6278
1.2680,268.6278
1.2720,268.6278
1.2760,269.5143
1.2800,270.4009
1.2840,270.4009
1.2880,271.2875
1.2920,271.2875
1.2960,273.0606
1.3000,273.9471
1.3040,273.9471
1.3080,273.0606
1.3120,275.7203
1.3160,276.6068
1.3200,277.4934
1.3240,277.4934
1.3280,277.4934
1.3320,279.2665
1.3360,277.4934
1.3400,279.2665
1.3440,279.2665
1.3480,281.0396
1.3520,281.9262
1.3560,281.0396
1.3600,282.8127
1.3640,282.8127
1.3680,283.6993
1.3720,283.6993
1.3760,284.5859
1.3800,286.3590
1.3840,286.3590
1.3880,285.4724
1.3920,286.3590
1.3960,289.0187
1.4000,289.0187
1.4040,289.0187
1.4080,289.0187
1.4120,291.6784
1.4160,290.7918
1.4200,290.7918
1.4240,292.5649
1.4280,294.3380
1.4320,295.2246
1.4360,295.2246
1.4400,295.2246
1.4440,296.9977
1.4480,296.9977
1.4520,296.9977
1.4560,296.9977
1.4600,298.7708
1.4640,300.5440
1.4680,298.7708
1.4720,298.7708
1.4760,300.5440
1.4800,302.3171
1.4840,303.2036
1.4880,303.2036
1.4920,304.0902
1.4960,304.9768
1.5000,304.9768
1.5040,304.9768
1.5080,305.8633
1.5120,306.7499
1.5160,308.5230
1.5200,308.5230
1.5240,308.5230
1.5280,310.2961
1.5320,311.1827
1.5360,310.2961
1.5400,311.1827
1.5440,312.0692
1.5480,311.1827
1.5520,312.9558
1.5560,312.0692
1.5600,312.9558
1.5640,313.8424
1.5680,313.8424
1.5720,313.8424
1.5760,315.6155
1.5800,315.6155
1.5840,316.5021
1.5880,317.3886
1.5920,317.3886
1.5960,318.2752
1.6000,317.3886
1.6040,319.1617
1.6080,320.9348
1.6120,320.9348
1.6160,320.9348
1.6200,321.8214
1.6240,322.7080
1.6280,322.7080
1.6320,322.7080
1.6360,324.4811
1.6400,324.4811
1.6440,325.3676
1.6480,326.2542
1.6520,327.1408
1.6560,327.1408
1.6600,326.2542
1.6640,328.0273
1.6680,328.0273
1.6720,328.9139
1.6760,329.8005
1.6800,330.6870
1.6840,331.5736
1.6880,331.5736
1.6920,332.4601
1.6960,333.3467
1.7000,333.3467
1.7040,334.2333
1.7080,336.0064
1.7120,337.7795
1.7160,336.8929
1.7200,336.8929
1.7240,336.8929
1.7280,337.7795
1.7320,339.5526
1.7360,339.5526
1.7400,339.5526
1.7440,340.4392
1.7480,341.3257
1.7520,341.3257
1.7560,340.4392
1.7600,342.2123
1.7640,343.0988
1.7680,343.0988
1.7720,343.0988
1.7760,343.9854
1.7800,346.6451
1.7840,346.6451
1.7880,345.7585
1.7920,345.7585
1.7960,348.4182
1.8000,349.3048
1.8040,348.4182
1.8080,348.4182
1.8120,350.1913
1.8160,351.0779
1.8200,351.9644
1.8240,351.0779
1.8280,351.0779
1.8320,353.7376
1.8360,353.7376
1.8400,353.7376
1.8440,354.6242
1.8480,354.6242
1.8520,354.6242
1.8560,356.3972
1.8600,356.3972
1.8640,359.0570
1.8680,359.0570
1.8720,358.1704
1.8760,359.0570
1.8800,360.8301
1.8840,360.8301
1.8880,359.9435
1.8920,361.7166
1.8960,362.6032
1.9000,362.6032
1.9040,363.4897
1.9080,364.3763
1.9120,365.2629
1.9160,365.2629
1.9200,366.1494
1.9240,366.1494
1.9280,367.9225
1.9320,367.9225
1.9360,368.8091
1.9400,367.9225
1.9440,369.6957
1.9480,368.8091
1.9520,369.6957
1.9560,369.6957
1.9600,370.5822
1.9640,371.4688
1.9680,372.3553
1.9720,373.2419
1.9760,373.2419
1.9800,373.2419
1.9840,373.2419
1.9880,374.1285
1.9920,375.9016
1.9960,375.9016
2.0000,376.7881
2.0040,376.7881
2.0080,378.5613
2.0120,377.6747
2.0160,378.5613
2.0200,378.5613
2.0240,379.4478
2.0280,381.2209
2.0320,381.2209
2.0360,381.2209
2.0400,381.2209
2.0440,382.1075
2.0480,384.7672
2.0520,383.8806
2.0560,383.8806
2.0600,385.6538
2.0640,386.5403
2.0680,386.5403
2.0720,386.5403
2.0760,387.4269
2.0800,389.2000
2.0840,390.0866
2.0880,390.0866
2.0920,390.0866
2.0960,391.8597
2.1000,392.7462
2.1040,391.8597
2.1080,392.7462
2.1120,393.6328
2.1160,395.4059
2.1200,395.4059
2.1240,395.4059
2.1280,395.4059
2.1320,397.1790
2.1360,396.2925
2.1400,395.4059
2.1440,397.1790
2.1480,398.9521
2.1520,397.1790
2.1560,398.0656
2.1600,399.8387
2.1640,400.7253
2.1680,401.6118
2.1720,400.7253
2.1760,401.6118
2.1800,403.3849
2.1840,403.3849
2.1880,403.3849
2.1920,405.1581
2.1960,406.0447
2.2000,406.0447
2.2040,406.9312
2.2080,407.8177
2.2120,407.8177
2.2160,409.5909
2.2200,409.5909
2.2240,409.5909
2.2280,411.3640
2.2320,411.3640
2.2360,411.3640
2.2400,412.2506
2.2440,413.1371
2.2480,413.1371
2.2520,413.1371
2.2560,413.1371
2.2600,414.0237
2.2640,415.7968
2.2680,414.9102
2.2720,417.5699
2.2760,418.4565
2.2800,417.5699
2.2840,419.3430
2.2880,419.3430
2.2920,420.2296
2.2960,421.1162
2.3000,422.0027
2.3040,422.0027
2.3080,422.0027
2.3120,422.8893
2.3160,423.7758
2.3200,424.6624
2.3240,424.6624
2.3280,423.7758
2.3320,424.6624
2.3360,426.4355
2.3400,426.4355
2.3440,426.4355
2.3480,426.4355
2.3520,428.2086
2.3560,428.2086
2.3600,429.0952
2.3640,429.0952
2.3680,429.9818
2.3720,429.9818
2.3760,430.8683
2.3800,431.7549
2.3840,431.7549
2.3880,432.6414
2.3920,433.5280
2.3960,433.5280
2.4000,434.4146
2.4040,434.4146
2.4080,435.3011
2.4120,436.1877
2.4160,437.0743
2.4200,437.0743
2.4240,437.9608
2.4280,438.8474
2.4320,440.6205
2.4360,439.7339
2.4400,439.7339
2.4440,441.5071
2.4480,442.3936
2.4520,442.3936
2.4560,442.3936
2.4600,443.2802
2.4640,444.1667
2.4680,444.1667
2.4720,444.1667
2.4760,445.9399
2.4800,446.8264
2.4840,447.7130
2.4880,446.8264
2.4920,447.7130
2.4960,448.5995
2.5000,449.4861
2.5040,449.4861
2.5080,450.3727
2.5120,451.2592
2.5160,452.1458
2.5200,451.2592
2.5240,452.1458
2.5280,453.0323
2.5320,453.9189
2.5360,453.9189
2.5400,453.0323
2.5440,453.9189
2.5480,454.8055
2.5520,454.8055
2.5560,455.6920
2.5600,456.5786
2.5640,458.3517
2.5680,458.3517
2.5720,458.3517
2.5760,459.2383
2.5800,460.1248
2.5840,460.1248
2.5880,460.1248
2.5920,461.0114
2.5960,463.6711
2.6000,464.5576
2.6040,462.7845
2.6080,463.6711
2.6120,466.3308
2.6160,467.2173
2.6200,466.3308
2.6240,467.2173
2.6280,468.9904
2.6320,469.8770
2.6360,468.9904
2.6400,468.9904
2.6440,469.8770
2.6480,470.7635
2.6520,471.6501
2.6560,471.6501
2.6600,472.5367
2.6640,473.4232
2.6680,474.3098
2.6720,474.3098
2.6760,476.0829
2.6800,476.0829
2.6840,477.8560
2.6880,476.9695
2.6920,476.9695
2.6960,478.7426
2.7000,478.7426
2.7040,479.6292
2.7080,480.5157
2.7120,480.5157
2.7160,479.6292
2.7200,481.4023
2.7240,482.2888
2.7280,483.1754
2.7320,482.2888
2.7360,482.2888
2.7400,484.0620
2.7440,484.9485
2.7480,484.9485
2.7520,484.0620
2.7560,485.8351
2.7600,486.7216
2.7640,486.7216
2.7680,486.7216
2.7720,488.4948
2.7760,487.6082
2.7800,488.4948
2.7840,489.3813
2.7880,490.2679
2.7920,489.3813
2.7960,491.1544
2.8000,492.0410
2.8040,492.0410
2.8080,493.8141
2.8120,493.8141
2.8160,494.7007
2.8200,494.7007
2.8240,494.7007
2.8280,495.5872
2.8320,496.4738
2.8360,495.5872
2.8400,497.3604
2.8440,498.2469
2.8480,499.1335
2.8520,499.1335
2.8560,499.1335
2.8600,500.0201
2.8640,500.9066
2.8680,500.9066
2.8720,500.9066
2.8760,502.6797
2.8800,504.4529
2.8840,504.4529
2.8880,503.5663
2.8920,504.4529
2.8960,506.2260
2.9000,506.2260
2.9040,506.2260
2.9080,506.2260
2.9120,508.8857
2.9160,508.8857
2.9200,508.8857
2.9240,508.8857
2.9280,510.6588
2.9320,511.5453
2.9360,510.6588
2.9400,510.6588
2.9440,511.5453
2.9480,512.4319
2.9520,512.4319
2.9560,512.4319
2.9600,513.3185
2.9640,515.9781
2.9680,515.9781
2.9720,515.9781
2.9760,515.9781
2.9800,517.7513
2.9840,517.7513
2.9880,517.7513
2.9920,518.6378
2.9960,519.5244
3.0000,520.4109
3.0040,520.4109
3.0080,521.2975
3.0120,523.0706
3.0160,523.9572
3.0200,523.9572
3.0240,523.9572
3.0280,524.8438
3.0320,526.6168
3.0360,525.7303
3.0400,524.8438
3.0440,526.6168
3.0480,527.5034
3.0520,528.3900
3.0560,528.3900
3.0600,529.2766
3.0640,530.1631
3.0680,531.0497
3.0720,529.2766
3.0760,531.0497
3.0800,533.7094
3.0840,533.7094
3.0880,533.7094
3.0920,533.7094
3.0960,534.5959
3.1000,534.5959
3.1040,535.4825
3.1080,535.4825
3.1120,537.2556
3.1160,537.2556
3.1200,538.1422
3.1240,539.0287
3.1280,538.1422
3.1320,538.1422
3.1360,539.0287
3.1400,539.9153
3.1440,539.9153
3.1480,539.9153
3.1520,541.6884
3.1560,540.8018
3.1600,542.5750
3.1640,542.5750
3.1680,543.4615
3.1720,543.4615
3.1760,543.4615
3.1800,545.2346
3.1840,545.2346
3.1880,546.1212
3.1920,546.1212
3.1960,546.1212
3.2000,547.0078
3.2040,547.0078
3.2080,547.8943
3.2120,548.7809
3.2160,549.6675
3.2200,549.6675
3.2240,550.5540
3.2280,550.5540
3.2320,552.3271
3.2360,553.2137
3.2400,552.3271
3.2440,552.3271
3.2480,554.9868
3.2520,554.1002
3.2560,554.1002
3.2600,554.9868
3.2640,556.7599
3.2680,557.6464
3.2720,557.6464
3.2760,557.6464
3.2800,559.4196
3.2840,559.4196
3.2880,559.4196
3.2920,559.4196
3.2960,562.0793
3.3000,562.9658
3.3040,561.1927
3.3080,562.9658
3.3120,563.8524
3.3160,564.7390
3.3200,564.7390
3.3240,564.7390
3.3280,564.7390
3.3320,565.6255
3.3360,565.6255
3.3400,565.6255
3.3440,567.3986
3.3480,568.2852
3.3520,568.2852
3.3560,567.3986
3.3600,568.2852
3.3640,570.0583
3.3680,570.0583
3.3720,570.0583
3.3760,570.9449
3.3800,572.7180
3.3840,573.6046
3.3880,572.7180
3.3920,572.7180
3.3960,575.3777
3.4000,575.3777
3.4040,576.2642
3.4080,577.1508
3.4120,578.0374
3.4160,578.9239
3.4200,578.9239
3.4240,579.8105
3.4280,579.8105
3.4320,581.5836
3.4360,579.8105
3.4400,581.5836
3.4440,581.5836
3.4480,582.4702
3.4520,583.3568
3.4560,582.4702
3.4600,584.2433
3.4640,585.1299
3.4680,585.1299
3.4720,585.1299
3.4760,586.0164
3.4800,586.9030
3.4840,587.7896
3.4880,587.7896
3.4920,587.7896
3.4960,589.5626
3.5000,589.5626
3.5040,589.5626
3.5080,590.4492
3.5120,592.2224
3.5160,592.2224
3.5200,592.2224
3.5240,593.9954
3.5280,593.1089
3.5320,593.1089
3.5360,593.9954
3.5400,593.9954
3.5440,594.8820
3.5480,593.9954
3.5520,595.7686
3.5560,595.7686
3.5600,596.6552
3.5640,596.6552
3.5680,596.6552
3.5720,598.4282
