Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Mx Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
0.0000,-250.7165
0.0040,-245.7963
0.0080,-245.1545
0.0120,-245.1545
0.0160,-248.7912
0.0200,-244.7267
0.0240,-247.0798
0.0280,-248.1494
0.0320,-251.1443
0.0360,-249.6469
0.0400,-244.9406
0.0440,-246.0102
0.0480,-247.0798
0.0520,-249.4330
0.0560,-246.8659
0.0600,-246.2241
0.0640,-247.9355
0.0680,-250.9304
0.0720,-243.6570
0.0760,-244.7267
0.0800,-248.7912
0.0840,-249.8608
0.0880,-247.2937
0.0920,-244.0849
0.0960,-247.7216
0.1000,-248.7912
0.1040,-244.9406
0.1080,-244.5128
0.1120,-246.4380
0.1160,-249.6469
0.1200,-246.6520
0.1240,-241.5178
0.1280,-243.4431
0.1320,-247.2937
0.1360,-246.4380
0.1400,-243.0153
0.1440,-245.5824
0.1480,-246.4380
0.1520,-248.1494
0.1560,-246.2241
0.1600,-244.5128
0.1640,-246.6520
0.1680,-247.2937
0.1720,-243.2292
0.1760,-242.8014
0.1800,-244.7267
0.1840,-247.0798
0.1880,-243.6570
0.1920,-239.5925
0.1960,-243.0153
0.2000,-246.8659
0.2040,-245.1545
0.2080,-241.7318
0.2120,-245.7963
0.2160,-246.4380
0.2200,-244.5128
0.2240,-240.0204
0.2280,-244.0849
0.2320,-245.3684
0.2360,-243.4431
0.2400,-242.1596
0.2440,-240.0204
0.2480,-242.5874
0.2520,-245.5824
0.2560,-241.7318
0.2600,-240.2343
0.2640,-241.9457
0.2680,-244.2988
0.2720,-240.2343
0.2760,-240.6622
0.2800,-240.4482
0.2840,-245.7963
0.2880,-241.7318
0.2920,-238.3090
0.2960,-243.2292
0.3000,-244.0849
0.3040,-239.5925
0.3080,-238.9508
0.3120,-240.8761
0.3160,-245.1545
0.3200,-241.7318
0.3240,-239.1647
0.3280,-239.8065
0.3320,-243.8710
0.3360,-243.6570
0.3400,-237.4533
0.3440,-239.8065
0.3480,-240.6622
0.3520,-239.8065
0.3560,-240.6622
0.3600,-238.5229
0.3640,-240.8761
0.3680,-241.7318
0.3720,-238.9508
0.3760,-236.8116
0.3800,-240.6622
0.3840,-241.3039
0.3880,-239.1647
0.3920,-235.1002
0.3960,-238.7368
0.4000,-238.5229
0.4040,-238.9508
0.4080,-235.5280
0.4120,-238.3090
0.4160,-241.5178
0.4200,-238.5229
0.4240,-234.4584
