Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,My Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
0.0000,-1.7731
0.0040,-0.8866
0.0080,-0.8866
0.0120,-0.8866
0.0160,-1.7731
0.0200,-0.8866
0.0240,-0.8866
0.0280,-0.8866
0.0320,-2.6597
0.0360,-1.7731
0.0400,-0.8866
0.0440,-0.8866
0.0480,-0.8866
0.0520,-1.7731
0.0560,-1.7731
0.0600,-0.8866
0.0640,-0.8866
0.0680,-0.8866
0.0720,-0.8866
0.0760,-0.8866
0.0800,-0.8866
0.0840,-0.8866
0.0880,-0.8866
0.0920,0.8866
0.0960,0.0000
0.1000,0.0000
0.1040,0.0000
0.1080,0.8866
0.1120,0.8866
0.1160,0.0000
0.1200,0.8866
0.1240,0.8866
0.1280,0.8866
0.1320,0.8866
0.1360,0.8866
0.1400,1.7731
0.1440,2.6597
0.1480,0.8866
0.1520,2.6597
0.1560,3.5462
0.1600,5.3194
0.1640,3.5462
0.1680,2.6597
0.1720,4.4328
0.1760,5.3194
0.1800,5.3194
0.1840,6.2059
0.1880,6.2059
0.1920,7.0925
0.1960,7.9790
0.2000,7.9790
0.2040,8.8656
0.2080,10.6387
0.2120,10.6387
0.2160,10.6387
0.2200,13.2984
0.2240,13.2984
0.2280,13.2984
0.2320,13.2984
0.2360,15.0715
0.2400,17.7312
0.2440,18.6178
0.2480,17.7312
0.2520,19.5043
0.2560,21.2774
0.2600,23.0506
0.2640,22.1640
0.2680,23.9371
0.2720,24.8237
0.2760,26.5968
0.2800,27.4834
0.2840,27.4834
0.2880,29.2565
0.2920,29.2565
0.2960,29.2565
0.3000,31.0296
0.3040,31.9162
0.3080,33.6893
0.3120,34.5759
0.3160,35.4624
0.3200,36.3490
0.3240,37.2355
0.3280,39.0087
0.3320,39.8952
0.3360,39.8952
0.3400,41.6683
0.3440,42.5549
0.3480,42.5549
0.3520,44.3280
0.3560,45.2146
0.3600,47.8743
0.3640,46.9877
0.3680,48.7608
0.3720,51.4205
0.3760,51.4205
0.3800,53.1936
0.3840,53.1936
0.3880,55.8533
0.3920,56.7399
0.3960,56.7399
0.4000,57.6264
0.4040,57.6264
0.4080,59.3995
0.4120,60.2861
0.4160,61.1727
0.4200,62.9458
0.4240,64.7189
0.4280,64.7189
0.4320,66.4920
0.4360,66.4920
0.4400,70.0383
0.4440,70.0383
0.4480,70.0383
0.4520,70.0383
0.4560,71.8114
0.4600,73.5845
