Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fy Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
1.2440,125.8230
1.2480,137.4120
1.2520,145.6898
1.2560,120.8563
1.2600,112.5785
1.2640,149.0009
1.2680,150.6565
1.2720,162.2455
1.2760,135.7564
1.2800,158.9343
1.2840,172.1789
1.2880,155.6232
1.2920,124.1674
1.2960,149.0009
1.3000,157.2788
1.3040,147.3454
1.3080,129.1341
1.3120,135.7564
1.3160,157.2788
1.3200,147.3454
1.3240,134.1008
1.3280,122.5119
1.3320,155.6232
1.3360,147.3454
1.3400,134.1008
1.3440,129.1341
1.3480,137.4120
1.3520,147.3454
1.3560,140.7231
1.3600,142.3787
1.3640,153.9676
1.3680,163.9010
1.3720,142.3787
1.3760,129.1341
1.3800,142.3787
1.3840,144.0342
1.3880,132.4453
1.3920,125.8230
1.3960,134.1008
1.4000,162.2455
1.4040,140.7231
1.4080,119.2007
1.4120,144.0342
1.4160,163.9010
1.4200,147.3454
1.4240,120.8563
1.4280,122.5119
1.4320,137.4120
1.4360,139.0675
1.4400,125.8230
1.4440,139.0675
1.4480,158.9343
1.4520,170.5233
1.4560,145.6898
1.4600,132.4453
1.4640,157.2788
1.4680,162.2455
1.4720,127.4786
1.4760,130.7897
1.4800,132.4453
1.4840,142.3787
1.4880,127.4786
1.4920,112.5785
1.4960,135.7564
1.5000,152.3121
1.5040,132.4453
1.5080,124.1674
1.5120,134.1008
1.5160,150.6565
1.5200,144.0342
1.5240,105.9562
1.5280,122.5119
1.5320,129.1341
1.5360,130.7897
1.5400,119.2007
1.5440,142.3787
1.5480,152.3121
1.5520,150.6565
1.5560,129.1341
1.5600,125.8230
1.5640,140.7231
1.5680,160.5899
1.5720,130.7897
1.5760,120.8563
1.5800,132.4453
1.5840,150.6565
1.5880,127.4786
1.5920,110.9229
1.5960,147.3454
1.6000,145.6898
1.6040,139.0675
1.6080,107.6118
1.6120,115.8896
1.6160,129.1341
1.6200,117.5452
1.6240,99.3340
1.6280,120.8563
1.6320,140.7231
1.6360,144.0342
1.6400,114.2340
1.6440,130.7897
1.6480,124.1674
1.6520,134.1008
1.6560,122.5119
1.6600,104.3007
1.6640,119.2007
1.6680,147.3454
1.6720,119.2007
1.6760,117.5452
1.6800,125.8230
1.6840,135.7564
1.6880,120.8563
1.6920,117.5452
1.6960,122.5119
1.7000,144.0342
1.7040,117.5452
1.7080,91.0561
1.7120,114.2340
1.7160,122.5119
1.7200,115.8896
1.7240,96.0228
1.7280,117.5452
1.7320,135.7564
1.7360,140.7231
1.7400,120.8563
1.7440,119.2007
1.7480,129.1341
1.7520,144.0342
1.7560,107.6118
1.7600,89.4006
1.7640,129.1341
1.7680,135.7564
1.7720,109.2673
1.7760,97.6784
1.7800,120.8563
1.7840,137.4120
1.7880,112.5785
1.7920,97.6784
1.7960,109.2673
1.8000,122.5119
1.8040,105.9562
1.8080,89.4006
1.8120,105.9562
1.8160,125.8230
1.8200,115.8896
1.8240,96.0228
1.8280,109.2673
1.8320,130.7897
1.8360,130.7897
1.8400,107.6118
1.8440,104.3007
1.8480,134.1008
1.8520,140.7231
1.8560,120.8563
1.8600,99.3340
1.8640,114.2340
1.8680,127.4786
1.8720,104.3007
1.8760,89.4006
1.8800,119.2007
1.8840,129.1341
1.8880,105.9562
1.8920,89.4006
1.8960,110.9229
1.9000,110.9229
1.9040,104.3007
1.9080,82.7783
1.9120,86.0894
1.9160,120.8563
1.9200,104.3007
1.9240,109.2673
1.9280,115.8896
1.9320,117.5452
1.9360,127.4786
1.9400,99.3340
1.9440,100.9895
1.9480,117.5452
1.9520,124.1674
1.9560,110.9229
1.9600,107.6118
1.9640,122.5119
1.9680,124.1674
1.9720,99.3340
1.9760,96.0228
1.9800,112.5785
1.9840,135.7564
1.9880,109.2673
1.9920,102.6451
1.9960,112.5785
2.0000,115.8896
2.0040,102.6451
2.0080,89.4006
2.0120,91.0561
2.0160,109.2673
2.0200,92.7117
2.0240,86.0894
2.0280,119.2007
2.0320,137.4120
2.0360,134.1008
2.0400,107.6118
2.0440,102.6451
2.0480,110.9229
2.0520,125.8230
2.0560,94.3673
2.0600,84.4339
2.0640,97.6784
2.0680,117.5452
2.0720,104.3007
2.0760,94.3673
2.0800,100.9895
2.0840,104.3007
2.0880,81.1227
2.0920,81.1227
2.0960,105.9562
2.1000,115.8896
2.1040,81.1227
2.1080,74.5005
2.1120,100.9895
2.1160,100.9895
2.1200,87.7450
2.1240,84.4339
2.1280,97.6784
2.1320,105.9562
2.1360,117.5452
