Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Pz Def.2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,mm
0.0000,6.1224
0.0040,6.1224
0.0080,6.1224
0.0120,6.1224
0.0160,6.0980
0.0200,6.1224
0.0240,6.1224
0.0280,6.0980
0.0320,6.0980
0.0360,6.1224
0.0400,6.0980
0.0440,6.1224
0.0480,6.0980
0.0520,6.1224
0.0560,6.1224
0.0600,6.0980
0.0640,6.1224
0.0680,6.1224
0.0720,6.0980
0.0760,6.1224
0.0800,6.1224
0.0840,6.1224
0.0880,6.1224
0.0920,6.1224
0.0960,6.0980
0.1000,6.0980
0.1040,6.0980
0.1080,6.1224
0.1120,6.0980
0.1160,6.0980
0.1200,6.1224
0.1240,6.1224
0.1280,6.1224
0.1320,6.1224
0.1360,6.0980
0.1400,6.1224
0.1440,6.0980
0.1480,6.1224
0.1520,6.1224
0.1560,6.1224
0.1600,6.1468
0.1640,6.0980
0.1680,6.1224
0.1720,6.1224
0.1760,6.1224
0.1800,6.1224
0.1840,6.0980
0.1880,6.1224
0.1920,6.0980
0.1960,6.0980
0.2000,6.0980
0.2040,6.0980
0.2080,6.0980
0.2120,6.0980
0.2160,6.0980
0.2200,6.0980
0.2240,6.0980
0.2280,6.0980
0.2320,6.0980
0.2360,6.0980
0.2400,6.0980
0.2440,6.1224
0.2480,6.1224
0.2520,6.0980
0.2560,6.0980
0.2600,6.1224
0.2640,6.0980
0.2680,6.0980
0.2720,6.1224
0.2760,6.1224
0.2800,6.0980
0.2840,6.0980
0.2880,6.0980
0.2920,6.0980
0.2960,6.1224
0.3000,6.0980
0.3040,6.1224
0.3080,6.0980
0.3120,6.0980
0.3160,6.0980
0.3200,6.1224
0.3240,6.1224
0.3280,6.1224
0.3320,6.0980
0.3360,6.0980
0.3400,6.0736
0.3440,6.0980
0.3480,6.0980
0.3520,6.1224
0.3560,6.1224
0.3600,6.0980
0.3640,6.1224
0.3680,6.1224
0.3720,6.0980
0.3760,6.0980
0.3800,6.0980
0.3840,6.0980
0.3880,6.1224
0.3920,6.0980
0.3960,6.0980
0.4000,6.0980
0.4040,6.1224
0.4080,6.0736
0.4120,6.1224
0.4160,6.1224
0.4200,6.1224
0.4240,6.1224
0.4280,6.0980
0.4320,6.1224
0.4360,6.1224
0.4400,6.0980
0.4440,6.0980
0.4480,6.1224
0.4520,6.1224
0.4560,6.0980
0.4600,6.1224
0.4640,6.0980
0.4680,6.0980
