Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Mz Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
0.0000,-3.9069
0.0040,-6.5114
0.0080,-9.1160
0.0120,-6.5114
0.0160,-2.6046
0.0200,-13.0229
0.0240,-16.2786
0.0280,-7.1626
0.0320,-18.2320
0.0360,-20.8366
0.0400,-13.0229
0.0440,-20.8366
0.0480,-24.7434
0.0520,-20.1854
0.0560,-26.6969
0.0600,-24.7434
0.0640,-22.1389
0.0680,-28.6503
0.0720,-27.9992
0.0760,-27.3480
0.0800,-27.3480
0.0840,-27.3480
0.0880,-31.9060
0.0920,-35.1617
0.0960,-29.3014
0.1000,-29.9526
0.1040,-31.2549
0.1080,-33.2083
0.1120,-31.2549
0.1160,-32.5572
0.1200,-37.1152
0.1240,-37.7663
0.1280,-35.1617
0.1320,-35.8129
0.1360,-39.0686
0.1400,-41.0220
0.1440,-39.7197
0.1480,-37.1152
0.1520,-36.4640
0.1560,-39.0686
0.1600,-41.0220
0.1640,-37.1152
0.1680,-41.6732
0.1720,-42.9754
0.1760,-40.3709
0.1800,-38.4174
0.1840,-39.0686
0.1880,-45.5800
0.1920,-41.6732
0.1960,-39.0686
0.2000,-38.4174
0.2040,-42.3243
0.2080,-41.6732
0.2120,-41.0220
0.2160,-41.0220
0.2200,-42.3243
0.2240,-43.6266
0.2280,-41.6732
0.2320,-43.6266
0.2360,-43.6266
0.2400,-46.2312
0.2440,-44.2777
0.2480,-41.6732
0.2520,-44.9289
0.2560,-48.1846
0.2600,-44.2777
0.2640,-39.7197
0.2680,-42.3243
0.2720,-47.5335
0.2760,-44.2777
0.2800,-43.6266
0.2840,-42.3243
0.2880,-42.3243
0.2920,-44.2777
0.2960,-44.2777
0.3000,-44.9289
0.3040,-45.5800
0.3080,-45.5800
0.3120,-40.3709
0.3160,-41.6732
0.3200,-46.8823
0.3240,-50.1380
0.3280,-44.9289
0.3320,-44.9289
0.3360,-44.9289
0.3400,-45.5800
0.3440,-45.5800
0.3480,-43.6266
0.3520,-44.2777
0.3560,-49.4869
0.3600,-46.8823
0.3640,-44.2777
0.3680,-47.5335
0.3720,-47.5335
0.3760,-48.1846
0.3800,-46.8823
0.3840,-47.5335
0.3880,-51.4403
0.3920,-46.8823
0.3960,-46.8823
0.4000,-48.1846
0.4040,-51.4403
0.4080,-52.0915
0.4120,-46.8823
0.4160,-46.8823
0.4200,-50.7892
0.4240,-52.0915
