Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fx Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
0.0000,14.8794
0.0040,9.9196
0.0080,3.3065
0.0120,14.8794
0.0160,36.3719
0.0200,38.0252
0.0240,41.3317
0.0280,120.6885
0.0320,99.1960
0.0360,47.9448
0.0400,140.5277
0.0440,145.4875
0.0480,84.3166
0.0520,171.9398
0.0560,206.6584
0.0600,152.1006
0.0640,180.2062
0.0680,200.0453
0.0720,175.2464
0.0760,223.1911
0.0800,267.8293
0.0840,239.7238
0.0880,223.1911
0.0920,224.8444
0.0960,247.9901
0.1000,269.4826
0.1040,286.0153
0.1080,274.4424
0.1120,274.4424
0.1160,279.4022
0.1200,252.9499
0.1240,272.7891
0.1280,319.0806
0.1320,302.5479
0.1360,277.7489
0.1400,299.2414
0.1440,287.6685
0.1480,279.4022
0.1520,333.9600
0.1560,330.6535
0.1600,295.9348
0.1640,317.4273
0.1680,307.5078
0.1720,299.2414
0.1760,330.6535
0.1800,350.4927
0.1840,329.0002
0.1880,302.5479
0.1920,322.3871
0.1960,342.2263
0.2000,335.6133
0.2040,340.5731
0.2080,343.8796
0.2120,329.0002
0.2160,347.1862
0.2200,345.5329
0.2240,335.6133
0.2280,350.4927
0.2320,347.1862
0.2360,347.1862
0.2400,353.7992
0.2440,342.2263
0.2480,358.7590
0.2520,365.3721
0.2560,338.9198
0.2600,352.1459
0.2640,385.2113
0.2680,367.0254
0.2720,353.7992
0.2760,370.3319
0.2800,370.3319
0.2840,376.9450
0.2880,386.8646
0.2920,376.9450
0.2960,373.6384
0.3000,368.6786
0.3040,371.9852
0.3080,385.2113
0.3120,393.4776
0.3160,388.5179
0.3200,373.6384
0.3240,365.3721
0.3280,395.1309
0.3320,398.4375
0.3360,388.5179
0.3400,385.2113
0.3440,386.8646
0.3480,398.4375
0.3520,400.0907
0.3560,386.8646
0.3600,393.4776
0.3640,401.7440
0.3680,398.4375
0.3720,401.7440
0.3760,403.3972
0.3800,400.0907
0.3840,406.7038
0.3880,403.3972
0.3920,410.0103
0.3960,414.9701
0.4000,413.3169
0.4040,403.3972
0.4080,406.7038
0.4120,418.2766
0.4160,424.8897
0.4200,411.6636
0.4240,408.3570
0.4280,416.6234
0.4320,424.8897
0.4360,421.5832
0.4400,421.5832
0.4440,423.2365
0.4480,426.5430
0.4520,421.5832
0.4560,421.5832
0.4600,438.1158
0.4640,436.4626
0.4680,431.5028
