Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Calculation:,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw
Filter:,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Data Description:,Az Def.1,Az Def.2,Fx Load1,Fx Load2,Fy Load1,Fy Load2,Fz Load1,Fz Load2,Mx Load1,Mx Load2,My Load1,My Load2,Mz Load1,Mz Load2,Px Def.1,Px Def.2,Pz Def.1,Pz Def.2,Tire Inf.1,Tire Inf.2
SEC,deg,deg,N,N,N,N,N,N,Nm,Nm,Nm,Nm,Nm,Nm,mm,mm,mm,mm,kpa,kpa
0.0960,-0.0004,-0.0065,9.9196,247.9901,235.0903,178.8011,1926.9014,1913.3077,-247.7216,-231.0357,0.0000,82.4501,-3.2557,-29.3014,0.0093,-0.1580,5.9272,6.0980,261.3599,262.2555
0.1000,-0.0004,-0.0004,1.6533,269.4826,245.0237,201.9790,1920.1046,1899.7141,-248.7912,-236.5976,0.0000,84.2232,-5.8603,-29.9526,0.0093,-0.1487,5.9028,6.0980,262.4135,261.2019
0.1040,-0.0004,-0.0004,6.6131,286.0153,241.7126,208.6013,1933.6982,1903.1124,-244.9406,-234.6723,0.0000,85.9964,-5.2091,-31.2549,0.0000,-0.1394,5.9272,6.0980,263.2037,261.5706
0.1080,0.0057,-0.0004,13.2261,274.4424,216.8791,195.3568,1940.4951,1913.3077,-244.5128,-231.4635,0.8866,90.4292,-2.6046,-33.2083,0.0000,-0.1208,5.9272,6.1224,262.1501,262.8349
0.1120,-0.0004,-0.0004,14.8794,274.4424,228.4681,213.5680,1930.2998,1950.6903,-246.4380,-228.2547,0.8866,90.4292,-1.9534,-31.2549,0.0093,-0.1115,5.9272,6.0980,261.2019,262.4662
0.1160,-0.0004,-0.0004,6.6131,279.4022,246.6793,175.4900,1920.1046,1926.9014,-249.6469,-227.1851,0.0000,89.5426,-7.1626,-32.5572,0.0093,-0.1208,5.9272,6.0980,262.3081,261.2019
0.1200,-0.0004,-0.0004,9.9196,252.9499,226.8125,198.6679,1930.2998,1889.5188,-246.6520,-235.1002,0.8866,91.3157,-3.9069,-37.1152,0.0093,-0.1115,5.9028,6.1224,263.1510,261.2019
0.1240,-0.0004,-0.0004,16.5327,272.7891,210.2569,235.0903,1943.8934,1903.1124,-241.5178,-235.7420,0.8866,94.8620,-4.5580,-37.7663,0.0093,-0.1022,5.9028,6.1224,262.3081,262.6769
0.1280,-0.0004,-0.0004,13.2261,319.0806,208.6013,187.0789,1933.6982,1913.3077,-243.4431,-230.8217,0.8866,94.8620,-3.9069,-35.1617,0.0093,-0.0929,5.9516,6.1224,261.3599,262.7296
0.1320,-0.0004,-0.0004,4.9598,302.5479,235.0903,178.8011,1920.1046,1950.6903,-247.2937,-224.1902,0.8866,95.7485,-8.4649,-35.8129,0.0093,-0.0836,5.9028,6.1224,262.0974,261.1492
0.1360,-0.0004,-0.0004,6.6131,277.7489,233.4348,206.9457,1926.9014,1933.6982,-246.4380,-230.6078,0.8866,99.2948,-7.8137,-39.0686,0.0186,-0.0743,5.9272,6.0980,263.1510,260.9912
0.1400,-0.0004,-0.0004,18.1859,299.2414,205.2902,215.2236,1937.0967,1872.5267,-243.0153,-234.8862,1.7731,98.4082,-3.9069,-41.0220,0.0093,-0.0651,5.9272,6.1224,262.5715,262.4662
0.1440,-0.0004,-0.0004,14.8794,287.6685,213.5680,203.6346,1930.2998,1899.7141,-245.5824,-230.6078,2.6597,98.4082,-5.8603,-39.7197,0.0093,-0.0651,5.9272,6.0980,261.4126,262.8876
0.1480,-0.0004,-0.0004,9.9196,279.4022,231.7792,185.4234,1926.9014,1947.2920,-246.4380,-225.6876,0.8866,100.1813,-7.1626,-37.1152,0.0186,-0.0465,5.9272,6.1224,261.9394,261.4126
0.1520,-0.0004,-0.0004,11.5729,333.9600,230.1237,190.3901,1923.5031,1923.5031,-248.1494,-229.5382,2.6597,102.8410,-7.1626,-36.4640,0.0186,-0.0465,5.9272,6.1224,263.0983,261.2546
0.1560,-0.0004,-0.0004,18.1859,330.6535,218.5347,203.6346,1933.6982,1903.1124,-246.2241,-234.8862,3.5462,101.9544,-4.5580,-39.0686,0.0186,-0.0372,5.9028,6.1224,262.7296,262.4662
0.1600,0.0057,-0.0004,23.1457,295.9348,200.3235,185.4234,1937.0967,1920.1046,-244.5128,-231.4635,5.3194,103.7276,-2.6046,-41.0220,0.0186,-0.0465,5.9272,6.1468,261.2019,262.8876
0.1640,-0.0004,-0.0065,19.8392,317.4273,236.7459,180.4567,1926.9014,1906.5110,-246.6520,-227.6129,3.5462,104.6141,-3.9069,-37.1152,0.0186,-0.0372,5.9272,6.0980,261.5706,261.7814
0.1680,-0.0004,-0.0004,16.5327,307.5078,241.7126,201.9790,1923.5031,1906.5110,-247.2937,-231.0357,2.6597,103.7276,-5.8603,-41.6732,0.0186,-0.0372,5.9272,6.1224,262.9403,260.9912
0.1720,-0.0004,-0.0065,23.1457,299.2414,235.0903,203.6346,1933.6982,1920.1046,-243.2292,-231.6774,4.4328,103.7276,-5.2091,-42.9754,0.0186,-0.0279,5.9028,6.1224,262.9930,262.0974
0.1760,-0.0004,-0.0004,26.4523,330.6535,211.9124,201.9790,1940.4951,1916.7062,-242.8014,-228.2547,5.3194,104.6141,-3.2557,-40.3709,0.0186,-0.0279,5.9272,6.1224,261.6233,262.8349
0.1800,-0.0004,0.0057,28.1055,350.4927,238.4015,188.7345,1926.9014,1923.5031,-244.7267,-226.3294,5.3194,108.1604,-5.2091,-38.4174,0.0186,-0.0093,5.9272,6.1224,261.5706,261.8867
0.1840,-0.0004,-0.0004,19.8392,329.0002,251.6460,190.3901,1920.1046,1909.9094,-247.0798,-227.6129,6.2059,109.9335,-9.1160,-39.0686,0.0186,-0.0093,5.9516,6.0980,262.7296,261.0966
0.1880,0.0057,-0.0004,29.7588,302.5479,226.8125,208.6013,1930.2998,1903.1124,-243.6570,-232.5331,6.2059,109.9335,-5.2091,-45.5800,0.0279,-0.0093,5.9028,6.1224,263.2563,261.6760
